date,close,volume
2005-01-04,3025.420,13857500.000
2005-01-05,3052.860,12330400.000
2005-01-06,3028.730,10886900.000
2005-01-07,3035.590,11775290.000
2005-01-10,3062.730,9429870.000
2005-01-11,3069.570,8947830.000
2005-01-12,3064.340,7419040.000
2005-01-13,3074.360,9841120.000
2005-01-14,3055.520,9960420.000
2005-01-17,2999.020,11683500.000
2005-01-18,3022.410,8800190.000
2005-01-19,3001.250,6681830.000
2005-01-20,2969.120,11243090.000
2005-01-21,3055.810,21950190.000
2005-01-24,3111.400,23191900.000
2005-01-25,3141.860,19191000.000
2005-01-26,3122.620,15808900.000
2005-01-27,3070.580,13937400.000
2005-01-28,3065.600,9982580.000
2005-01-31,3045.480,13229790.000
2005-02-01,3066.230,12962400.000
2005-02-02,3221.210,35330000.000
2005-02-03,3196.540,35978000.000
2005-02-04,3266.010,31580300.000
2005-02-16,3283.880,24442900.000
2005-02-17,3264.340,20337000.000
2005-02-18,3233.570,14059200.000
2005-02-21,3298.470,17304800.000
2005-02-22,3382.980,35036100.000
2005-02-23,3383.060,34366300.000
2005-02-24,3379.490,26543690.000
2005-02-25,3385.440,32659090.000
2005-02-28,3376.320,21631190.000
2005-03-01,3348.450,19610500.000
2005-03-02,3301.760,26374300.000
2005-03-03,3334.460,15606290.000
2005-03-04,3332.150,16828800.000
2005-03-07,3368.670,17302090.000
2005-03-08,3451.820,28125690.000
2005-03-09,3464.660,24826300.000
2005-03-10,3373.540,24323190.000
2005-03-11,3408.840,20361500.000
2005-03-14,3420.540,26180400.000
2005-03-15,3366.680,19793400.000
2005-03-16,3341.120,17208300.000
2005-03-17,3296.170,21341000.000
2005-03-18,3255.280,17110300.000
2005-03-21,3276.520,12737090.000
2005-03-22,3249.500,22301900.000
2005-03-23,3220.070,21030900.000
2005-03-24,3214.980,17717400.000
2005-03-25,3214.850,12081000.000
2005-03-28,3213.310,11779500.000
2005-03-29,3208.440,13995790.000
2005-03-30,3137.460,14558090.000
2005-03-31,3170.350,10936290.000
2005-04-01,3284.950,25944000.000
2005-04-04,3244.250,18977800.000
2005-04-05,3244.930,15053000.000
2005-04-06,3312.640,28293000.000
2005-04-07,3343.770,37985300.000
2005-04-08,3397.320,27800000.000
2005-04-11,3357.030,33508100.000
2005-04-12,3310.810,21993500.000
2005-04-13,3371.490,33364300.000
2005-04-14,3324.930,25450090.000
2005-04-15,3304.300,19914400.000
2005-04-18,3261.320,13548500.000
2005-04-19,3267.540,16936190.000
2005-04-20,3222.530,17264300.000
2005-04-21,3207.560,17626690.000
2005-04-22,3176.920,21001400.000
2005-04-25,3160.620,24605400.000
2005-04-26,3180.190,24174090.000
2005-04-27,3163.010,20286900.000
2005-04-28,3204.730,27077300.000
2005-04-29,3156.670,18840190.000
2005-05-09,3031.500,16086090.000
2005-05-10,3067.980,18010300.000
2005-05-11,3000.600,15254290.000
2005-05-12,2930.790,18538900.000
2005-05-13,2921.500,20730690.000
